id,text,rating,date,source,app,cleaned_text,word_count,language,sentiment_label,aspects
ebedf4e6-a242-48ac-a2db-5248b3e4052c,Terbaik.. very good to me,5,2022-05-29 03:29:36,play_store,MyMaxis,Terbaik.. very good to me,5,af,positive,[]
4f5a6a6b-6d71-4fa5-afc4-143275a594d3,good very good very good morning,5,2026-04-27 17:46:34,play_store,Hotlink,good very good very good morning,6,af,positive,[]
8932728d-0436-49f5-968b-b74952cf1988,Damnn how to use this apps everytime I tried to register and after the scan the apps will say error what the pak dude,1,2025-02-11 07:40:06,play_store,MyUMobile,Damnn how to use this apps everytime I tried to register and after the scan the apps will say error what the pak dude,24,en,negative,['app_usability']
67735e2f-33ab-44be-8c2d-5d2833fcdf7d,Apps become laggier than before.,3,2026-02-15 00:02:18,play_store,MyUnifi,Apps become laggier than before.,5,en,neutral,[]
4500cde3-341c-4f67-8db1-376fa4dbd906,"Say support with the apps. Got problem oso nothing been report and drag as long as weeks to months. Other than useless is scamming. Cancel oso not process. If anyone using the service, good luck",1,2025-11-11 04:51:08,play_store,MyUnifi,"Say support with the apps. Got problem oso nothing been report and drag as long as weeks to months. Other than useless is scamming. Cancel oso not process. If anyone using the service, good luck",35,en,negative,['customer_support']
f6f37ee5-31a0-46f1-8e2b-4ca3890ab4c0,Sometime cannot loading n slow.. Please improve it,4,2026-06-01 05:14:54,play_store,MyCelcomDigi,Sometime cannot loading n slow.. Please improve it,8,en,positive,['speed']
8762989a-c797-425a-81f4-3d1f482b0e32,Nowadays it has become less competitive compared to other telcos for certain prepaid monthly plans. It ought to bring in the RM25 plan for unlimited data 12mbps with 15GB hotspot and unlimited local calls.,2,2025-08-11 01:38:19,play_store,MyUMobile,Nowadays it has become less competitive compared to other telcos for certain prepaid monthly plans. It ought to bring in the RM25 plan for unlimited data 12mbps with 15GB hotspot and unlimited local calls.,34,en,negative,['billing']
d65ce545-64c7-43d3-b82e-38758e03b979,please upgrade your coverage in town,4,2026-03-09 12:26:28,play_store,Yes5G,please upgrade your coverage in town,6,en,positive,['coverage']
c54a110f-c896-4d0e-9698-cea3afc1c66f,aku bayar untuk sebulan bukan untuk 15 hari kena slowww ni ... nk chat pun xmasuk tiktok pun sangkut ii,3,2026-02-03 13:41:07,play_store,Hotlink,aku bayar untuk sebulan bukan untuk 15 hari kena sloww ni .. nk chat pun xmasuk tiktok pun sangkut ii,20,id,neutral,['billing']
3d4d9155-75a1-4e5c-a451-5f5812d857f6,"Can't even pay bill properly. Shown error, end up paid twice. Terrible app.",5,2026-04-13 03:24:46,play_store,MyMaxis,"Can't even pay bill properly. Shown error, end up paid twice. Terrible app.",13,en,positive,"['billing', 'app_usability']"
